track,skill,module,title,type,lang,sequence,learning,difficulty,time,directions,path,discord_URL,discord_channel_id,discord_message_id,slug
DAT,01_intro,01_baisc_knowledge,◾Importancia y aplicaciones del Análisis de Datos,activity,,00,,,,,DAT/01_intro/01_baisc_knowledge/activities/00_01_01_dat_activity_que_es.md,,,,dat-01_intro-01_baisc_knowledge-activity-none
DAT,01_intro,01_baisc_knowledge,Herramientas de Análisis de Aatos Más Comunes,activity,,00,,,,,DAT/01_intro/01_baisc_knowledge/activities/00_01_05_dat_read_tools.md,,,,dat-01_intro-01_baisc_knowledge-activity-none
DAT,01_intro,01_baisc_knowledge,◾El rol de las personas en la era de la IA para el Análisis de Datos,activity,,00,,,,,DAT/01_intro/01_baisc_knowledge/activities/00_01_03_dat_activity_ai.md,,,,dat-01_intro-01_baisc_knowledge-activity-none
DAT,01_intro,01_baisc_knowledge,"◼️Módulo 1: ""Todo sobre"""" el Análisis de Datos",activity,,00,,,,,DAT/01_intro/01_baisc_knowledge/activities/00_01_00_dat_all_about.md,,,,dat-01_intro-01_baisc_knowledge-activity-none
DAT,01_intro,01_baisc_knowledge,◾Qué es la IA,activity,,00,,,,,DAT/01_intro/01_baisc_knowledge/activities/00_01_04_dat_activity_ai_que_es.md,,,,dat-01_intro-01_baisc_knowledge-activity-none
DAT,01_intro,02_learning_bydoing,◾Reto 2.1 : Tablas dinámicas,activity,,00,,,,,DAT/01_intro/02_learning_bydoing/activities/00_02_01_dat_myfirst.md,,,,dat-01_intro-02_learning_bydoing-activity-none
DAT,01_intro,02_learning_bydoing,Reflexiona y comenta,activity,,00,,,,,DAT/01_intro/02_learning_bydoing/activities/00_02_02_dat_close.md,,,,dat-01_intro-02_learning_bydoing-activity-none
DAT,01_intro,02_learning_bydoing,◼️Aprende haciendo,activity,,00,,,,,DAT/01_intro/02_learning_bydoing/activities/00_02_00_dat_practice.md,,,,dat-01_intro-02_learning_bydoing-activity-none
DEV,01_intro,01_baisc_knowledge,El impacto del Desarrollo Web en la vida cotidiana,activity,ES,00,,,,,DEV/01_intro/01_baisc_knowledge/activities/00_01_03_dev_life_ES.md,,,,dev-01_intro-01_baisc_knowledge-activity-es
DEV,01_intro,01_baisc_knowledge,Herramientas y tecnologías básicas del Desarrollo Web,activity,ES,00,,,,,DEV/01_intro/01_baisc_knowledge/activities/00_01_05_dev_tools_ES.md,,,,dev-01_intro-01_baisc_knowledge-activity-es
DEV,01_intro,01_baisc_knowledge,🔹Entendiendo Internet y la Web,activity,ES,00,,,,,DEV/01_intro/01_baisc_knowledge/activities/00_01_01_internet_web_ES.md,,,,dev-01_intro-01_baisc_knowledge-activity-es
DEV,01_intro,01_baisc_knowledge,Módulo 1: Todo sobre el desarrollo Web,activity,ES,00,,,,,DEV/01_intro/01_baisc_knowledge/activities/00_01_00_all_about_ES.md,,,,dev-01_intro-01_baisc_knowledge-activity-es
DEV,01_intro,01_baisc_knowledge,🔹Qué es el desarrollo web front-end y qué es el back-end,activity,ES,00,,,,,DEV/01_intro/01_baisc_knowledge/activities/00_01_02_web_dev_ES.md,,,,dev-01_intro-01_baisc_knowledge-activity-es
DEV,01_intro,01_baisc_knowledge,Tendencias actuales y futuras en el Desarrollo Web,activity,ES,00,,,,,DEV/01_intro/01_baisc_knowledge/activities/00_01_04_dev_trends_ES.md,,,,dev-01_intro-01_baisc_knowledge-activity-es
DEV,01_intro,01_baisc_knowledge,DEV : introduction : basic knowledge : activities,activity,ES,RE,,,,,DEV/01_intro/01_baisc_knowledge/activities/README_ES.md,,,,dev-01_intro-01_baisc_knowledge-activity-es
DEV,01_intro,02_learning_bydoing,:small_blue_diamond: Reto 2.1 : Mi Primera Página HTML,activity,ES,00,,,,,DEV/01_intro/02_learning_bydoing/activities/00_02_01_myfirst_ES.md,,,,dev-01_intro-02_learning_bydoing-activity-es
DEV,01_intro,02_learning_bydoing,Aprende haciendo,activity,ES,00,,,,,DEV/01_intro/02_learning_bydoing/activities/00_02_00_practice_ES.md,,,,dev-01_intro-02_learning_bydoing-activity-es
DEV,01_intro,02_learning_bydoing,Reflexiona y comenta,activity,ES,00,,,,,DEV/01_intro/02_learning_bydoing/activities/00_02_02_close_ES.md,,,,dev-01_intro-02_learning_bydoing-activity-es
